ID,DESCRIPTION,FEATURES,IMAGES,NAME,SLUG,SUMMARY,BRAND_ID,CATEGORY_ID,STATUS,ACTIVE,DISCOUNT
11,"Máy tính xách tay, thường gọi tắt là laptop, là một loại thiết bị điện tử có thể mang theo dễ dàng. Laptop thường được sử dụng cho công việc và giải trí, với khả năng xử lý tốt và hiển thị đẹp. Màn hình rộng và bàn phím tiện lợi giúp người dùng làm việc và trải nghiệm giải trí một cách thoải mái. Ngoài ra, laptop còn có khả năng kết nối Internet và các thiết bị khác, tạo nên một công cụ đa năng và linh hoạt.","[""Di động và tiện lợi"",""Kết nối đa dạng"",""Pin trâu, hiệu suất mạnh mẽ""]","[""https://lh3.googleusercontent.com/4Xc3fZhZ9Zgm8RNvVDNJBGN6Y4jL3mpJWnkKTwV9Cj7HHW4WShNTjTeabkzGDwQNcJmy_fOnlWfpzTLQEu9qd6a2FRbUwzTNFw=w1000-rw""]",ROG Phone 7,rog-phone-7,"Khả năng xử lý mạnh mẽ, dung lượng lưu trữ lớn và khả năng kết nối đa dạng là những đặc điểm nổi bật của laptop hiện đại.",4,4,,1,
12,,"[""Di động và tiện lợi"",""Kết nối đa dạng"",""Pin trâu, hiệu suất mạnh mẽ""]","[""https://lh3.googleusercontent.com/ddlXG183z3vgu7TRHHfIht5_i5KOD5m8lxrfza7MNBOGfG7nylHs0lBjoKv9n11KAILazAm28cOwcONqYfNJVk2WkKRPf2vH=w1000-rw""]",Think X1 Nano Gen 2,think-x1-nano-gen-2,"Máy tính xách tay là thiết bị di động hữu ích cho công việc và giải trí, thường được trang bị màn hình rộng và bàn phím tiện lợi.",3,3,NEW,1,
13,,"[""Di động và tiện lợi"",""Kết nối đa dạng"",""Pin trâu, hiệu suất mạnh mẽ""]","[""https://lh3.googleusercontent.com/ptO5jTnRkc8dP3Y5mv17bTNg6OmKyziIfOFTj_ZPq_A2zfuy6czAkcXNq8pThQuMIvLopweRfle4g9DenbxYHGPgEla6yrAKQw=w1000-rw""]",Aspire 7,aspire-7,"Khả năng xử lý mạnh mẽ, dung lượng lưu trữ lớn và khả năng kết nối đa dạng là những đặc điểm nổi bật của laptop hiện đại.",3,3,,0,30
14,,"[""Di động và tiện lợi"",""Kết nối đa dạng"",""Pin trâu, hiệu suất mạnh mẽ""]","[""https://lh3.googleusercontent.com/bfMEAqLupCvcpKtMN39DDpJwAQxHTBmIq6Mh0zvT6x973O-4lBWC4B2BG7L4X-CvB4MB9qspgCRzSGrrtTI01jhuFXT1JppDkA=w1000-rw""]",Votros 5620,vostros-5620,"iPhone là một loại điện thoại thông minh được sản xuất bởi Apple, với hệ điều hành iOS và nhiều tính năng độc đáo như Face ID và App Store.",1,1,STOP_SELLING,1,23
15,,"[""Di động và tiện lợi"",""Kết nối đa dạng"",""Pin trâu, hiệu suất mạnh mẽ""]","[""https://lh3.googleusercontent.com/_CqktMqtQd1GcYrGx_t3mzSCB8Wr7OCbYjsCfYkd3YYXWYQcGBZF4Y_hBUEIcVjoKUra32b-pDLQmz8QGKehHx-Kv4Fr50so=w1000-rw""]",Inspiron 15,inspiron-15,"iPhone là một loại điện thoại thông minh được sản xuất bởi Apple, với hệ điều hành iOS và nhiều tính năng độc đáo như Face ID và App Store.",2,2,,1,5
16,"Máy tính xách tay, thường gọi tắt là laptop, là một loại thiết bị điện tử có thể mang theo dễ dàng. Laptop thường được sử dụng cho công việc và giải trí, với khả năng xử lý tốt và hiển thị đẹp. Màn hình rộng và bàn phím tiện lợi giúp người dùng làm việc và trải nghiệm giải trí một cách thoải mái. Ngoài ra, laptop còn có khả năng kết nối Internet và các thiết bị khác, tạo nên một công cụ đa năng và linh hoạt.","[""Di động và tiện lợi"",""Kết nối đa dạng"",""Pin trâu, hiệu suất mạnh mẽ""]","[""https://lh3.googleusercontent.com/WlvgoTJHhQx6sDMFdWGuEdbrbnJUBTAOJn2RC9_bxqEi2uj_aG7ij3e0s9pC3io6U8BDWunGaxmQdCt7WA4GP_p1W7HECGVkgQ=w1000-rw""]",ExpertBook B5,expertbook-b5,"Thiết kế sang trọng, camera chất lượng cao và tích hợp các dịch vụ trực tuyến, iPhone là một cỗ máy đa năng trong túi bạn.",1,1,,0,19
17,"Máy tính xách tay đã trở thành một phần quan trọng trong cuộc sống hiện đại, giúp con người tiếp cận công việc và giải trí mọi lúc, mọi nơi. Laptop thường được trang bị các cổng kết nối đa dạng như USB, HDMI và cả cổng âm thanh, giúp bạn dễ dàng kết nối với các thiết bị khác như máy chiếu, loa ngoài và ổ cứng di động.","[""Di động và tiện lợi"",""Kết nối đa dạng"",""Pin trâu, hiệu suất mạnh mẽ""]","[""https://lh3.googleusercontent.com/qtHHWWpJ5RcfIPsyRTTOiIhQdQnkQiZH8WbzdfP5OhMXTui5OKoY8-ZD-q3MZaEftlQDJy6HLQSnED-jePaiWQSk2Uj7FeQT=w1000-rw""]",TUF Gaming,tuf-gaming,"Khả năng xử lý mạnh mẽ, dung lượng lưu trữ lớn và khả năng kết nối đa dạng là những đặc điểm nổi bật của laptop hiện đại.",1,1,NEW,1,
18,,"[""Di động và tiện lợi"",""Kết nối đa dạng"",""Pin trâu, hiệu suất mạnh mẽ""]","[""https://lh3.googleusercontent.com/C0iFdblbVcX1RR99ymRi_IaDEedowGBxqmAXTM3eTVZxa0TpR6QA-7va2hlLj50aS5mS2u9NVXx_zgQlYAI43617DVbkFiw=w1000-rw""]",Vivobook 15,vivobook-15,"Thiết kế sang trọng, camera chất lượng cao và tích hợp các dịch vụ trực tuyến, iPhone là một cỗ máy đa năng trong túi bạn.",7,7,,1,
19,"Máy tính xách tay, thường gọi tắt là laptop, là một loại thiết bị điện tử có thể mang theo dễ dàng. Laptop thường được sử dụng cho công việc và giải trí, với khả năng xử lý tốt và hiển thị đẹp. Màn hình rộng và bàn phím tiện lợi giúp người dùng làm việc và trải nghiệm giải trí một cách thoải mái. Ngoài ra, laptop còn có khả năng kết nối Internet và các thiết bị khác, tạo nên một công cụ đa năng và linh hoạt.","[""Di động và tiện lợi"",""Kết nối đa dạng"",""Pin trâu, hiệu suất mạnh mẽ""]","[""https://lh3.googleusercontent.com/SSw3Ad8N232-nANCqPvpG_9EEgkOsdPpFTKeq4NVg2tE4ELRxb5U0Yt7KRmSC8k1HIkQluK3tqBGY5cyvIAkkhRTjQba0F3YrA=w1000-rw""]",Zenbook 14,zenbook-14,"Máy tính xách tay là thiết bị di động hữu ích cho công việc và giải trí, thường được trang bị màn hình rộng và bàn phím tiện lợi.",10,3,STOP_SELLING,1,
20,,"[""Di động và tiện lợi"",""Kết nối đa dạng"",""Pin trâu, hiệu suất mạnh mẽ""]","[""https://lh3.googleusercontent.com/N6Z7HuCnJBk0rVTvzsX4mChnt2e-YPluZ-Y9EoB-vmYr3vkvqWWOuRqTczwWsiQxB9qMORptWTAi9U4cFPp1_kKH2-MfuJYY=w1000-rw""]",ROG Strix G15 2,rog-strix-g15-2,"Máy tính xách tay giúp bạn làm việc từ xa, xem phim, chơi game và duyệt web một cách tiện lợi và linh hoạt.",10,1,NEW,0,
